กลุ่มวิชา,ประเภท,รหัสวิชา,ชื่อวิชา,หน่วยกิตรวม,หน่วยกิตบรรยาย,หน่วยกิตแลป,ชั่วโมงบรรยาย,ชั่วโมงแลป,ปีที่เรียน,เทอมที่เรียน
วิชาเฉพาะ,2,01417167,Engineering Mathematics I,3,3,0,3,0,1,1
วิชาเฉพาะ,2,01420111,General Physics I,3,3,0,3,0,1,1
วิชาเฉพาะ,2,01420113,Laboratory in Physics I,3,0,1,0,3,1,1
วิชาศึกษาทั่วไป,3,01999111,Knowledge of the Land,2,2,0,2,0,1,1
วิชาเฉพาะ,2,02204171,Structured Programming,3,2,1,2,3,1,1
วิชาศึกษาทั่วไป,3,02999144,Life Skills For Undergraduate Student,1,1,0,2,0,1,1
วิชาเฉพาะ,2,01417168,Engineering Mathematics II,3,3,0,3,0,1,2
วิชาเฉพาะ,2,01420112,General Physics II,3,3,0,3,0,1,2
วิชาเฉพาะ,2,01420114,Laboratory in Physics II,1,0,1,0,3,1,2
วิชาเฉพาะ,1,02204111,Discrete Mathematics,3,3,0,3,0,1,2
วิชาเฉพาะ,1,02204121,Fundamental of Digital,3,3,0,3,0,1,2
วิชาเฉพาะ,1,02204122,Laboratory in Fundamental of Digital,1,0,1,0,3,1,2
วิชาเฉพาะ,1,02204172,Practicum in Programming and Problem Solving Skills,1,0,1,0,3,1,2
วิชาเฉพาะ,2,01403114,Laboratory in Fundamental of General Chemistry,1,0,1,0,3,2,1
วิชาเฉพาะ,2,01403117,Fundamental of General Chemistry,3,3,0,3,0,2,1
วิชาเฉพาะ,2,01417267,Engineering Mathematics III,3,3,0,3,0,2,1
วิชาเฉพาะ,1,02204221,Electrical Engineering for Computer Engineer,3,3,0,3,0,2,1
วิชาเฉพาะ,1,02204231,Data Structures and Algorithms I,3,3,0,3,0,2,1
วิชาเฉพาะ,1,02204271,Object-Oriented Programming,3,2,1,2,3,2,1
วิชาเฉพาะ,2,01208111,Engineering Drawing,3,2,1,2,3,2,2
วิชาเฉพาะ,1,02204222,Electrical Engineering for Computer Engineer Laboratory,1,0,1,0,3,2,2
วิชาเฉพาะ,1,02204223,Electronics Fundamentals,3,3,0,3,0,2,2
วิชาเฉพาะ,1,02204232,Data Structures and Algorithms II,3,3,0,3,0,2,2
วิชาเฉพาะ,1,02204241,Computer Architecture,3,3,0,3,0,2,2
วิชาเฉพาะ,1,02204272,Software Development Camp,1,0,3,0,3,2,2
วิชาเฉพาะ,1,02204281,Data Communications and Computer Network Systems,3,3,0,3,0,2,2
วิชาเฉพาะ,1,02204224,Electronics Fundamentals Laboratory,1,0,1,0,3,3,1
วิชาเฉพาะ,1,02204311,Probability and Statistics for Computer Engineers,3,3,0,3,0,3,1
วิชาเฉพาะ,1,02204321,Signals and Systems,3,3,0,3,0,3,1
วิชาเฉพาะ,1,02204351,Operating Systems Engineering,3,3,0,3,0,3,1
วิชาเฉพาะ,1,02204361,Database Systems Management,3,3,0,3,0,3,1
วิชาเฉพาะ,1,02204381,Data Communications and Computer Network Systems Laboratory,1,0,1,0,3,3,1
วิชาเฉพาะ,1,02204341,Embedded System,3,2,1,2,3,3,2
วิชาเฉพาะ,1,02204371,Software Engineering,3,3,0,3,0,3,2
วิชาเฉพาะ,1,02204372,Management of Information Technology,3,3,0,3,0,3,2
วิชาเฉพาะ,1,02204497,Seminar,1,1,0,2,0,3,2
วิชาเฉพาะ,2,02206111,Engineering Material,3,3,0,6,0,3,2
วิชาเฉพาะ,1,02204451,Service Oriented Architectures,3,3,0,6,0,3,2
วิชาเฉพาะ,1,02204472,Mobile Application Development,3,3,0,6,0,3,2
วิชาเฉพาะ,1,02204412,Digital Image Processing,3,3,0,6,0,3,2
วิชาเฉพาะ,1,02204432,Evolutionary Computation,3,3,0,6,0,3,2
วิชาเฉพาะ,1,02204461,Data Warehouse and Data Mining,3,3,0,6,0,3,2
วิชาเฉพาะ,1,02204421,Mechatronic Systems Design,3,3,0,6,0,3,2
วิชาเฉพาะ,1,02204390,Introduation Internship,1,1,0,2,0,4,1
วิชาเฉพาะ,1,02204433,Pattern Recognition,3,3,0,6,0,0,0
วิชาเฉพาะ,1,02204452,Data Security System,3,3,0,6,0,0,0
วิชาเฉพาะ,1,02204431,Artificial Intelligence for Computer Engineer,3,3,0,6,0,0,0
วิชาเฉพาะ,1,02204462,Business Intelligence System and Knowledge Management,3,3,0,6,0,0,0
วิชาเฉพาะ,1,02204481,Computer Network Design,3,3,0,6,0,0,0
วิชาเฉพาะ,1,02204490,InternShip,6,0,0,0,0,4,2
วิชาศึกษาทั่วไป,3,01999111,Knowledge of the Land,2,2,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01355102,English for University Life,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355103,English for Job Opportunities,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355107,Essential English Writing Skills,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355108,English and Culture through Songs,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355109,Essential English Listening-Speaking Skills,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01361101,Introductory Thai Usage,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01361102,Thai Practical Writing,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01361103,Thai Critical Reading,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01999021,Thai Language for Communication,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01999022,Thai Language in Cultural Context,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,02701011,Thai Usage for Business Sciences and Technology,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01007101,Horticulture for life Quality and Environment,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01240011,Design in Everyday Life,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01244101,Design for Well-being,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01255101,Man and Sea,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01350102,Visual Storytelling,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01387102,Philosophy for New Life,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01401201,Plants for Value of Life Creation,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01418105,Digital Creative Arts,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01420201,Gems and Jewelry,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01999034,Art Perception,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01999035,Music Culture in Life,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,02708102,Literature and Science,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,02728102,Pigments in Art,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,02999037,Atrs of Aesthetics for Happiness,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,03600012,Green Technology,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,03654111,Aesthetics of Sport,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355102,English for University Life,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355103,English for Job Opportunities,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355107,Essential English Writing Skills,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355108,English and Culture through Songs,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355109,Essential English Listening-Speaking Skills,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355119,Essential English Reading Skills,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,001175xxx,Physical Education,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01173151,AIDS Education,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01174123,Recreation Camp,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01174231,Introduction to Recreation,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01176141,Life and Career Planning for the New Generation,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01350103,Resilient Life,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01387101,The Art of Living with Others,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01387103,Philosophy of Sufficiency Economics and Buddhism,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01390103,Tourism for Well-Being,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01402101,Beauty Products Literacy,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01416101,Genetics in Media,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01418103,Health and Digital Society,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01453102,Law in Everyday Life,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01459101,Psychology for Modern Life,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01459102,Psychology and Human Diversity,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01999011,Food for Mankind,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01999012,Health for Life,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01999033,Arts of Living,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01999036,Happiness amongst Life Dynamics,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01999048,Innovation for Environment and Well-being,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01999051,Development of Core Competency through One Health,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01999213,"Environment, Technology and Life",3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,02032304,Agriculture for Green Earth,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,02032303,Agriculture and Quality of Life,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,02717011,Self and Self Development,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,02724012,Personality Development,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,02727104,Living Things and Natural Disasters,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,02728101,Chemistry in Modern Life,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,02999038,Happiness in the 21st Century,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,02999044,Sufficiency Economy for Living,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,02999045,Enhancement of Living Value through Community Path,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355103,English for Job Opportunities,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355107,Essential English Writing Skills,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355108,English and Culture through Songs,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355109,Essential English Listening-Speaking Skills,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01005101,Modern Agricultural Technology,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01101101,General Economics in Globalization,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01131111,Finance for Entrepreneurs,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01177141,Knowledge Acquisition,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01200101,Innovative Thinking,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01387105,Buddhist Ethics of Business Operations,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01390104,Personality Development for Modern Entrepreneur,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01418102,Information Technology for Entrepreneurs,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01453103,Laws for New Entrepreneur,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01999041,Economics for Better Living,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01999043,Creativity for Value Management,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01999112,Circular Economy Concept for Sustainability,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,02714101,Critical Thinking and Problem Solving,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,02721121,Business Management for Social Sustainability,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,03600014,Creative Problem Solving and Critical Thinking Skills,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,03757123,Mathematics for Business,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01371111,Information Media for Learning,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01418104,IT Updates,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01418111,Introduction to Computer Science,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01999013,Digital Citizens,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01999023,Digital Literacy,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,02729102,Computer Application in Everyday Life,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,03600013,Essential Computer Tools and Skills,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,03752111,Information Resources for Research,1,1,0,4,0,0,0
วิชาศึกษาทั่วไป,3,01355111,English for Everyday Life,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355112,English for University Life,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355113,English for Job Opportunities,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355116,(Introduction to English Grammar and Structure),3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355117,Essential English Writing Skills,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355118,English and Culture through Songs,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355119,Essential English Listening-Speaking Skills,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355301,English for International Business,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355302,English for Airline Personnel,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355303,English for Employment,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355304,English for Travel,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355305,English for Import-Export Business,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355306,English for Understanding and Appreciating Thai Art and Culture,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355307,Integrated English Language Skills for Communication,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355308,English for Airline Personnel,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355201,Critical Reading and Writing in English,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355202,Report Writing in English,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355203,English Language Structure,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355204,Project Presentation in English,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355205,Reading for Mass Communication in English,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355206,Academic English,3,3,0,6,0,0,0
วิชาศึกษาทั่วไป,3,01355207,English Correspondence,3,3,0,6,0,0,0
วิชาเฉพาะ,1,02204495,Computer Engineering Project I,2,2,0,4,0,4,1
วิชาเฉพาะ,1,02204499,Computer Engineering Project II,2,0,6,0,3,4,2
วิชาเฉพาะ,1,02204471,Web Application Development,3,3,0,0,0,0,0
วิชาเสรี,3,XXXXXXXX,Free Subject,3,3,0,0,0,0,0
วิชาศึกษาทั่วไป,3,01175XXX,Physical Education,1,0,1,0,2,0,0
